,iter,norm
0,1,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
1,2,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
2,3,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
3,4,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
4,5,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
5,6,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
6,7,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
7,8,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
8,9,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
9,10,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
10,11,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
11,12,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
12,13,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
13,14,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
